nl_question,sparql_partial_uri,sparql_complete_uri
How many artists are there?,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :artist . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/artist> . }
Count the number of artists.,"PREFIX : <http://valuenet/ontop/>
SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a :artist . }",SELECT (count( *) as ?aggregation_all) WHERE { ?T1 a <http://valuenet/ontop/artist> . }
List the age of all music artists.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_age WHERE { ?T1 a :artist . ?T1 :age ?T1_age . }",SELECT ?T1_age WHERE { ?T1 a <http://valuenet/ontop/artist> . ?T1 <http://valuenet/ontop/age> ?T1_age . }
What are the ages of all music artists?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_age WHERE { ?T1 a :artist . ?T1 :age ?T1_age . }",SELECT ?T1_age WHERE { ?T1 a <http://valuenet/ontop/artist> . ?T1 <http://valuenet/ontop/age> ?T1_age . }
What is the average age of all artists?,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_age) as ?aggregation_T1_age_92 ) WHERE { ?T1 a :artist . ?T1 :age ?T1_age . }",SELECT (avg( ?T1_age) as ?aggregation_T1_age_92 ) WHERE { ?T1 a <http://valuenet/ontop/artist> . ?T1 <http://valuenet/ontop/age> ?T1_age . }
Return the average age across all artists.,"PREFIX : <http://valuenet/ontop/>
SELECT (avg( ?T1_age) as ?aggregation_T1_age_100 ) WHERE { ?T1 a :artist . ?T1 :age ?T1_age . }",SELECT (avg( ?T1_age) as ?aggregation_T1_age_100 ) WHERE { ?T1 a <http://valuenet/ontop/artist> . ?T1 <http://valuenet/ontop/age> ?T1_age . }
What are the famous titles of the artist 'Triumfall'?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_famous_title WHERE { ?T1 a :artist . ?T1 :famous_title ?T1_famous_title . ?T1 :artist ?T1_artist . FILTER(?T1_artist = 'Triumfall') . }",SELECT ?T1_famous_title WHERE { ?T1 a <http://valuenet/ontop/artist> . ?T1 <http://valuenet/ontop/famous_title> ?T1_famous_title . ?T1 <http://valuenet/ontop/artist> ?T1_artist . FILTER(?T1_artist = 'Triumfall') . }
Return the famous titles of the artist called 'Triumfall'.,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_famous_title WHERE { ?T1 a :artist . ?T1 :famous_title ?T1_famous_title . ?T1 :artist ?T1_artist . FILTER(?T1_artist = 'Triumfall') . }",SELECT ?T1_famous_title WHERE { ?T1 a <http://valuenet/ontop/artist> . ?T1 <http://valuenet/ontop/famous_title> ?T1_famous_title . ?T1 <http://valuenet/ontop/artist> ?T1_artist . FILTER(?T1_artist = 'Triumfall') . }
What are the distinct Famous release dates?,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_famous_release_date WHERE { ?T1 a :artist . ?T1 :famous_release_date ?T1_famous_release_date . }",SELECT DISTINCT ?T1_famous_release_date WHERE { ?T1 a <http://valuenet/ontop/artist> . ?T1 <http://valuenet/ontop/famous_release_date> ?T1_famous_release_date . }
Give the distinct famous release dates for all artists.,"PREFIX : <http://valuenet/ontop/>
SELECT DISTINCT ?T1_famous_release_date WHERE { ?T1 a :artist . ?T1 :famous_release_date ?T1_famous_release_date . }",SELECT DISTINCT ?T1_famous_release_date WHERE { ?T1 a <http://valuenet/ontop/artist> . ?T1 <http://valuenet/ontop/famous_release_date> ?T1_famous_release_date . }
Return the dates of ceremony and the results of all music festivals,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_date_of_ceremony ?T1_result WHERE { ?T1 a :music_festival . ?T1 :date_of_ceremony ?T1_date_of_ceremony . ?T1 :result ?T1_result . }",SELECT ?T1_date_of_ceremony ?T1_result WHERE { ?T1 a <http://valuenet/ontop/music_festival> . ?T1 <http://valuenet/ontop/date_of_ceremony> ?T1_date_of_ceremony . ?T1 <http://valuenet/ontop/result> ?T1_result . }
What are the dates of ceremony and results for each music festival?,"PREFIX : <http://valuenet/ontop/>
SELECT ?T1_date_of_ceremony ?T1_result WHERE { ?T1 a :music_festival . ?T1 :date_of_ceremony ?T1_date_of_ceremony . ?T1 :result ?T1_result . }",SELECT ?T1_date_of_ceremony ?T1_result WHERE { ?T1 a <http://valuenet/ontop/music_festival> . ?T1 <http://valuenet/ontop/date_of_ceremony> ?T1_date_of_ceremony . ?T1 <http://valuenet/ontop/result> ?T1_result . }
